Altium Designer Pick and Place Locations
D:\Altium\WW02_Mini\Project Outputs for WW02_Mini\Pick Place\PickPlaceforWW02Mini.txt

========================================================================================================================
File Design Information:

Date:       14-09-20
Time:       10:30
Revision:   1747
Variant:    Production
Units used: mil

Designator Comment                 Layer       Footprint                                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                 
TP6        ""                      TopLayer    Testpoint_16mil_32mil                     3269.604      390.214       90       "Test Point - 16mil/32mil via"                                                                                              
J3         "CONNECTOR COAX-M 2GND" BottomLayer con_hrs_U_FL-SMT                          3158.976      614.173       270      "CONN RECPT ULTRA-MINI COAX SMD"                                                                                            
R1         0                       TopLayer    RESC0402(1005)_N                          3463.583      275.590       270      "RES SMD 0.0OHM JUMPER 1/16W 0402"                                                                                          
C50        "5.5-30pF 125V Trimmer" TopLayer    CAPC4531X17N                              3523.622      74.976        360      "CAP TRIMMER 5.5-30PF 125V SMD"                                                                                             
L9         6.8nH                   TopLayer    0603HP                                    3362.205      74.976        180      0603HP-6N8X_E_                                                                                                              
TP4        ""                      TopLayer    Testpoint_16mil_32mil                     3082.677      169.449       90       "Test Point - 16mil/32mil via"                                                                                              
R8         0                       TopLayer    RESC0402(1005)_N                          2870.079      375.000       90       "RES SMD 0.0OHM JUMPER 1/16W 0402"                                                                                          
C49        100pF                   TopLayer    CAPC1005N-0402                            3015.748      82.677        360      "CAP CER 100PF 50V C0G/NP0 0402 ±5% AEC-Q200"                                                                               
U3         RFFM6404                TopLayer    LGA28C100P8X8_600X600X105                 3051.118      482.115       180      "Transmit/Receive Module, 2.5V to 4.5V, ISM Band, 27.5dBm, 430MHz to 450MHz"                                                
R7         910                     TopLayer    Chip_Res_1608_0603_MMC                    3496.063      559.055       180      "PANASONIC   ERJPA3F9100V   RESISTOR, ERJP, 910 OHM, 0603, 0.25W, 1%"                                                       
R6         910                     TopLayer    Chip_Res_1608_0603_MMC                    3259.843      523.622       90       "PANASONIC   ERJPA3F9100V   RESISTOR, ERJP, 910 OHM, 0603, 0.25W, 1%"                                                       
R5         5.6                     TopLayer    Chip_Res_1608_0603_MMC                    3358.268      559.055       360      "RES SMD 5.6 OHM 1% 1/4W 0603"                                                                                              
J2         "CONNECTOR COAX-M 2GND" TopLayer    con_hrs_U_FL-SMT                          3396.142      196.850       270      "CONN RECPT ULTRA-MINI COAX SMD"                                                                                            
C39        100pF                   TopLayer    CAPC1005N-0402                            2846.457      263.260       360      "CAP CER 100PF 50V C0G/NP0 0402 ±5% AEC-Q200"                                                                               
X3         ECS-.327-12.5-12R-C-TR  TopLayer    ECS-.327-12.5-12R-C-TR                    307.087       429.134       0        "32.768kHz ±10ppm Crystal 12.5pF 70 kOhms 2-SMD, No Lead"                                                                   
TP3        ""                      TopLayer    TestPoint_1mm                             200.787       519.685       90       "Test Point - 1mm pad"                                                                                                      
C51        33pF                    TopLayer    CAPC1005N-0402                            3504.921      195.055       360      "CAP CER 33PF 50V C0G/NP0 0402 ±5%"                                                                                         
C20        20pF                    TopLayer    CAPC1005N-0402                            381.890       452.756       90       "CAP CER 20PF 50V C0G/NP0 0402 ±5%"                                                                                         
C38        20pF                    TopLayer    CAPC1005N-0402                            232.284       452.756       90       "CAP CER 20PF 50V C0G/NP0 0402 ±5%"                                                                                         
L8         15nH                    TopLayer    LQW2BA                                    3388.780      429.527       270      "FIXED IND 15NH 1.5A 120 MOHM"                                                                                              
C23        10pF                    TopLayer    CAPC1005N-0402                            3488.189      350.394       360      "CAP CER 10PF 50V C0G/NP0 0402 ±0.25pF"                                                                                     
C22        10pF                    TopLayer    CAPC1005N-0402                            3488.189      503.937       360      "CAP CER 10PF 50V C0G/NP0 0402 ±0.25pF"                                                                                     
C21        1.8pF                   TopLayer    CAPC1005N-0402                            3464.567      427.633       270      "CAP CER 1.8PF 50V C0G/NP0 0402 ±0.25pF"                                                                                    
FID8       FID_40mil               BottomLayer Fiducial_40mil                            705.000       1101.000      90       "40mil Fid with full top keepout"                                                                                           
FID7       FID_40mil               BottomLayer Fiducial_40mil                            81.000        80.000        90       "40mil Fid with full top keepout"                                                                                           
FID6       FID_40mil               BottomLayer Fiducial_40mil                            1375.000      73.000        90       "40mil Fid with full top keepout"                                                                                           
